#mass_gev    #sensitivity_cm2
0.4         7.037048985720892e-36
0.41        3.973640205690627e-36
0.42        2.7183100974979962e-36
0.43        1.882568769303789e-36
0.44        1.3687937321304277e-36
0.45        1.0171376285541311e-36
0.5         3.4602916524468005e-37
1.0         4.5999999999999995e-39
2.0         3.03e-40
